CohortMonth,CohortSize,TotalRevenue,AvgLTV
2009-12,955.0,8515997.147,8917.27449947644
2010-01,383.0,1302663.932,3401.211310704961
2010-02,374.0,986887.205,2638.7358422459893
2010-03,443.0,1246128.911,2812.9320790067723
2010-04,294.0,553380.311,1882.2459557823129
2010-05,254.0,386112.30000000005,1520.1271653543308
2010-06,270.0,598242.3,2215.7122222222224
2010-07,186.0,309115.27,1661.910053763441
2010-08,162.0,261377.78999999998,1613.443148148148
2010-09,243.0,573365.031,2359.5268765432097
2010-10,377.0,525641.8600000001,1394.2754907161807
2010-11,325.0,350029.2,1077.012923076923
2010-12,76.0,62609.92,823.8147368421053
2011-01,71.0,140280.48,1975.7814084507045
2011-02,124.0,136670.02000000002,1102.1775806451615
2011-03,179.0,220732.43,1233.142067039106
2011-04,106.0,107768.78,1016.6866037735849
2011-05,111.0,286289.03,2579.1804504504507
2011-06,108.0,140149.04,1297.6762962962964
2011-07,102.0,94373.801,925.233343137255
2011-08,106.0,149010.54,1405.7598113207548
2011-09,189.0,158190.7,836.9878306878308
2011-10,221.0,152442.57,689.7853846153846
2011-11,191.0,93521.34,489.64052356020943
2011-12,28.0,23824.36,850.87
